"Date","Time","Test Total Time",
04/12/10,14:32:37,(hh:mm:ss): 5:15:16,
,,,
"Rated Capacity","Tested Capacity",,
1.60 Ah,1.31 Ah,,
,,,
"Cells","Battery Type","Battery Weight",
1,Li-ion,1.000 kg,
,,,
"Test Current","Graph Type",,
0.250 Amps,AmpHrs,,
,,,
"Test","Time","Voltage","Current"
"Seidio1600mAh_N1_0a_250mA",275,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",276,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",277,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",278,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",279,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",280,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",281,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",282,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",283,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",284,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",285,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",286,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",287,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",288,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",289,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",290,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",291,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",292,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",293,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",294,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",295,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",296,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",297,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",298,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",299,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",300,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",301,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",302,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",303,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",304,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",305,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",306,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",307,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",308,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",309,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",310,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",311,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",312,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",313,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",314,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",315,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",316,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",317,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",318,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",319,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",320,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",321,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",322,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",323,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",324,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",325,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",326,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",327,4.05,0.251
"Seidio1600mAh_N1_0a_250mA",328,4.05,0.248
"Seidio1600mAh_N1_0a_250mA",329,4.05,0.249
"Seidio1600mAh_N1_0a_250mA",330,4.05,0.251
