"Date","Time","Test Total Time",
06/12/10,01:12:26,(hh:mm:ss): 9:36:39,
,,,
"Rated Capacity","Tested Capacity",,
3.20 Ah,2.40 Ah,,
,,,
"Cells","Battery Type","Battery Weight",
1,Li-ion,1.000 kg,
,,,
"Test Current","Graph Type",,
0.250 Amps,AmpHrs,,
,,,
"Test","Time","Voltage","Current"
"Mugen_3200mAh_Hero_0a",219,4.07,0.251
"Mugen_3200mAh_Hero_0a",220,4.07,0.249
"Mugen_3200mAh_Hero_0a",221,4.07,0.251
"Mugen_3200mAh_Hero_0a",222,4.07,0.251
"Mugen_3200mAh_Hero_0a",223,4.07,0.251
"Mugen_3200mAh_Hero_0a",224,4.07,0.248
"Mugen_3200mAh_Hero_0a",225,4.07,0.249
"Mugen_3200mAh_Hero_0a",226,4.07,0.251
"Mugen_3200mAh_Hero_0a",227,4.07,0.251
"Mugen_3200mAh_Hero_0a",228,4.07,0.251
"Mugen_3200mAh_Hero_0a",229,4.07,0.251
"Mugen_3200mAh_Hero_0a",230,4.07,0.251
"Mugen_3200mAh_Hero_0a",231,4.07,0.251
"Mugen_3200mAh_Hero_0a",232,4.07,0.248
"Mugen_3200mAh_Hero_0a",233,4.07,0.249
"Mugen_3200mAh_Hero_0a",234,4.07,0.251
"Mugen_3200mAh_Hero_0a",235,4.07,0.248
"Mugen_3200mAh_Hero_0a",236,4.07,0.251
"Mugen_3200mAh_Hero_0a",237,4.07,0.251
"Mugen_3200mAh_Hero_0a",238,4.07,0.251
"Mugen_3200mAh_Hero_0a",239,4.07,0.248
"Mugen_3200mAh_Hero_0a",240,4.07,0.249
"Mugen_3200mAh_Hero_0a",241,4.07,0.251
"Mugen_3200mAh_Hero_0a",242,4.07,0.249
"Mugen_3200mAh_Hero_0a",243,4.07,0.251
"Mugen_3200mAh_Hero_0a",244,4.07,0.251
"Mugen_3200mAh_Hero_0a",245,4.07,0.251
"Mugen_3200mAh_Hero_0a",246,4.06,0.251
"Mugen_3200mAh_Hero_0a",247,4.07,0.249
"Mugen_3200mAh_Hero_0a",248,4.07,0.251
"Mugen_3200mAh_Hero_0a",249,4.06,0.251
"Mugen_3200mAh_Hero_0a",250,4.07,0.248
"Mugen_3200mAh_Hero_0a",251,4.07,0.251
"Mugen_3200mAh_Hero_0a",252,4.06,0.251
"Mugen_3200mAh_Hero_0a",253,4.06,0.251
"Mugen_3200mAh_Hero_0a",254,4.06,0.251
"Mugen_3200mAh_Hero_0a",255,4.06,0.248
"Mugen_3200mAh_Hero_0a",256,4.07,0.251
"Mugen_3200mAh_Hero_0a",257,4.07,0.251
"Mugen_3200mAh_Hero_0a",258,4.06,0.248
"Mugen_3200mAh_Hero_0a",259,4.06,0.251
"Mugen_3200mAh_Hero_0a",260,4.06,0.251
"Mugen_3200mAh_Hero_0a",261,4.06,0.251
"Mugen_3200mAh_Hero_0a",262,4.06,0.251
"Mugen_3200mAh_Hero_0a",263,4.06,0.249
"Mugen_3200mAh_Hero_0a",264,4.06,0.251
"Mugen_3200mAh_Hero_0a",265,4.06,0.251
"Mugen_3200mAh_Hero_0a",266,4.06,0.248
"Mugen_3200mAh_Hero_0a",267,4.06,0.251
"Mugen_3200mAh_Hero_0a",268,4.06,0.251
"Mugen_3200mAh_Hero_0a",269,4.06,0.251
"Mugen_3200mAh_Hero_0a",270,4.06,0.248
"Mugen_3200mAh_Hero_0a",271,4.06,0.251
"Mugen_3200mAh_Hero_0a",272,4.06,0.251
"Mugen_3200mAh_Hero_0a",273,4.06,0.248
"Mugen_3200mAh_Hero_0a",274,4.06,0.249
"Mugen_3200mAh_Hero_0a",275,4.06,0.251
"Mugen_3200mAh_Hero_0a",276,4.06,0.251
"Mugen_3200mAh_Hero_0a",277,4.06,0.249
"Mugen_3200mAh_Hero_0a",278,4.06,0.251
"Mugen_3200mAh_Hero_0a",279,4.06,0.251
"Mugen_3200mAh_Hero_0a",280,4.06,0.249
"Mugen_3200mAh_Hero_0a",281,4.06,0.248
"Mugen_3200mAh_Hero_0a",282,4.06,0.251
"Mugen_3200mAh_Hero_0a",283,4.06,0.251
"Mugen_3200mAh_Hero_0a",284,4.06,0.251
"Mugen_3200mAh_Hero_0a",285,4.06,0.251
"Mugen_3200mAh_Hero_0a",286,4.06,0.251
"Mugen_3200mAh_Hero_0a",287,4.06,0.249
"Mugen_3200mAh_Hero_0a",288,4.06,0.248
"Mugen_3200mAh_Hero_0a",289,4.06,0.251
"Mugen_3200mAh_Hero_0a",290,4.06,0.251
"Mugen_3200mAh_Hero_0a",291,4.06,0.251
"Mugen_3200mAh_Hero_0a",292,4.06,0.248
"Mugen_3200mAh_Hero_0a",293,4.06,0.251
"Mugen_3200mAh_Hero_0a",294,4.06,0.251
"Mugen_3200mAh_Hero_0a",295,4.06,0.251
"Mugen_3200mAh_Hero_0a",296,4.06,0.249
"Mugen_3200mAh_Hero_0a",297,4.06,0.248
"Mugen_3200mAh_Hero_0a",298,4.06,0.251
"Mugen_3200mAh_Hero_0a",299,4.06,0.251
"Mugen_3200mAh_Hero_0a",300,4.06,0.251
"Mugen_3200mAh_Hero_0a",301,4.06,0.251
"Mugen_3200mAh_Hero_0a",302,4.06,0.251
"Mugen_3200mAh_Hero_0a",303,4.06,0.249
"Mugen_3200mAh_Hero_0a",304,4.06,0.248
"Mugen_3200mAh_Hero_0a",305,4.06,0.251
"Mugen_3200mAh_Hero_0a",306,4.06,0.251
"Mugen_3200mAh_Hero_0a",307,4.06,0.249
"Mugen_3200mAh_Hero_0a",308,4.06,0.248
"Mugen_3200mAh_Hero_0a",309,4.06,0.251
"Mugen_3200mAh_Hero_0a",310,4.06,0.251
"Mugen_3200mAh_Hero_0a",311,4.06,0.251
"Mugen_3200mAh_Hero_0a",312,4.06,0.249
"Mugen_3200mAh_Hero_0a",313,4.06,0.251
"Mugen_3200mAh_Hero_0a",314,4.06,0.251
"Mugen_3200mAh_Hero_0a",315,4.06,0.248
"Mugen_3200mAh_Hero_0a",316,4.06,0.251
"Mugen_3200mAh_Hero_0a",317,4.06,0.251
"Mugen_3200mAh_Hero_0a",318,4.06,0.251
"Mugen_3200mAh_Hero_0a",319,4.06,0.251
"Mugen_3200mAh_Hero_0a",320,4.06,0.248
"Mugen_3200mAh_Hero_0a",321,4.06,0.251
"Mugen_3200mAh_Hero_0a",322,4.06,0.249
"Mugen_3200mAh_Hero_0a",323,4.06,0.249
"Mugen_3200mAh_Hero_0a",324,4.06,0.251
"Mugen_3200mAh_Hero_0a",325,4.06,0.251
"Mugen_3200mAh_Hero_0a",326,4.06,0.251
"Mugen_3200mAh_Hero_0a",327,4.06,0.248
"Mugen_3200mAh_Hero_0a",328,4.06,0.251
"Mugen_3200mAh_Hero_0a",329,4.06,0.249
"Mugen_3200mAh_Hero_0a",330,4.06,0.249
"Mugen_3200mAh_Hero_0a",331,4.06,0.251
"Mugen_3200mAh_Hero_0a",332,4.06,0.251
"Mugen_3200mAh_Hero_0a",333,4.06,0.251
